player_id,observed_proportional_log_lift,observed_additional_pageviews,scoring_appearances,baseline_views,baseline_visibility_z,player_name,team_name,position_code,observed_percent_change,proportional_rank,additive_rank,rank_difference,rank_displacement,absolute_rank_displacement
P-81972,4.324461046249767,242732.7741935484,1,1361.6129032258063,1.031915975581616,Pepe,Portugal,DF,7452.479751601173,42,15,-27,-27,27
P-26068,3.817473583406578,28511.870967741936,1,285.06451612903226,0.0485023357592225,Romain Saïss,Morocco,DF,4448.913851056156,60,86,26,26,26
P-67578,3.297399523798348,18604.548387096773,1,369.2258064516129,0.1740373102134856,Raphaël Guerreiro,Portugal,DF,2604.222474325821,75,101,26,26,26
P-05164,3.4145881216665632,78747.48387096774,1,1428.258064516129,1.0161199925557105,Lucas Paquetá,Brazil,MF,2940.442392479541,70,45,-25,-25,25
P-31643,4.204672730792095,44614.967741935485,1,266.51612903225805,-0.0219629642444433,Marko Livaja,Croatia,FW,6599.866747712667,46,70,24,24,24
P-71343,4.8008330104391606,432807.9032258064,1,2111.548387096774,1.1332175464809509,Alexis Mac Allister,Argentina,MF,12061.167913513102,29,5,-24,-24,24
P-84430,4.248350529165558,55122.93548387097,1,353.03225806451616,0.1797520575941391,Nahuel Molina,Argentina,DF,6898.987083106222,43,66,23,23,23
P-68016,4.516048059030863,316309.30516128987,2,1926.935483870968,1.167831224653349,Richarlison,Brazil,FW,9047.33853090398,36,14,-22,-22,22
P-42078,3.8361945962678,34018.16129032258,1,426.4193548387097,0.1565272562731028,Davy Klaassen,Netherlands,MF,4534.876266877844,59,80,21,21,21
P-85860,3.957313507915427,115934.58064516127,1,1094.7096774193549,0.7719629979955114,Mehdi Taremi,Iran,FW,5131.6588887304615,55,34,-21,-21,21
P-13975,4.026839442912042,131096.93548387097,1,960.032258064516,0.784589482519769,Michy Batshuayi,Belgium,FW,5508.337612803522,51,31,-20,-20,20
P-46913,6.347725689942437,178705.90322580645,1,134.5483870967742,-0.412119076061664,Takuma Asano,Japan,FW,57019.21625711952,3,23,20,20,20
P-65182,4.6118879237203965,68137.70967741935,1,275.64516129032256,0.0202040268416007,Andrej Kramarić,Croatia,FW,9967.4035234374,34,53,19,19,19
P-77743,2.250240757091734,29308.8064516129,1,1936.0967741935483,1.1971234970967484,Kai Havertz,Germany,FW,849.0020351041147,103,84,-19,-19,19
P-47321,2.6969888601096867,38835.77419354839,1,1227.6129032258063,0.9589145613270316,Kalidou Koulibaly,Senegal,DF,1383.4994160454137,92,74,-18,-18,18
P-63293,1.6669506723982623,19738.93548387097,1,2389.032258064516,1.3507233656232964,Dušan Vlahović,Serbia,FW,429.5993929535268,115,97,-18,-18,18
P-23925,1.420878264456987,19068.0,1,5138.0,1.521774419794184,Manuel Akanji,Switzerland,DF,314.0755522136289,116,99,-17,-17,17
P-37935,3.2382349284820515,23064.16129032258,1,389.4193548387097,0.2301563213684848,Ismaïla Sarr,Senegal,FW,2448.869265382388,76,93,17,17,17
P-09400,2.8521832779679235,40787.16129032258,1,1070.4193548387098,0.8624094524512133,Marco Asensio,Spain,MF,1632.5567106634614,88,72,-16,-16,16
P-27744,2.2378009018866374,27527.09677419355,1,1271.451612903226,0.92233314645068,Sergej Milinković-Savić,Serbia,MF,837.2697126917739,104,89,-15,-15,15
P-46246,4.247239740633595,133058.16129032258,2,656.4193548387096,0.5167727234611702,Niclas Füllkrug,Germany,FW,6891.217004774829,44,30,-14,-14,14
P-70715,2.8226321758632587,35449.22580645161,1,1044.3870967741937,0.8706336899096601,Hakim Ziyech,Morocco,MF,1582.1068462511157,90,77,-13,-13,13
P-75989,2.473012334378044,29612.25806451613,1,1241.8709677419354,0.9134976363721862,Serge Gnabry,Germany,FW,1085.811370800841,96,83,-13,-13,13
P-01945,4.24192046113283,123289.6129032258,1,634.1935483870968,0.5171389657070549,André Ayew,Ghana,MF,6854.12749965118,45,33,-12,-12,12
P-39861,3.706215423782199,69131.16129032258,1,703.4193548387096,0.5415049401623387,Daley Blind,Netherlands,DF,3969.94843885456,63,52,-11,-11,11
P-58692,3.616943580470485,38699.6129032258,1,556.1935483870968,0.4451758189825289,Hee-chan Hwang,South Korea,MF,3622.362277122044,64,75,11,11,11
P-53452,5.1272348379265535,138579.85483870967,2,349.3225806451613,0.187400719469675,Vincent Aboubakar,Cameroon,FW,16755.040388782876,19,29,10,10,10
